Seconds,Test,Run,Point,ID_rcs,at001,me2615,me2616,me2645,me2655,me1800,me3058,ads_dewpt,vr2615,vr2616,vr2645,vr2655,vr1800,vr3058,ptpsi_rcs,pt_fr1,ttemp,ps_fr1,x3mln2,mach_rcs,te2693,pitch,qinfft
0,215,144,2688,4,-179.964127,-70.684372,-53.03875,-92.048119,56.401249,-76.427498,-66.527496,-84,5.449514,18.718035,1.728646,17879.32031,4.382212,7.302726,43.239452,43.225922,-181.469772,26.248255,314.568237,0.868475,-169.186295,1.783114,2009.94043
0.115006,215,144,2688,4,-179.985031,-70.701248,-53.044376,-92.036865,56.423752,-76.416252,-66.465622,-84,5.449514,18.718035,1.728646,17879.32031,4.382212,7.302726,43.248474,43.216896,-181.364166,26.252893,315.687775,0.867855,-169.20665,1.783114,2008.811279
0.302017,215,144,2688,4,-180.131363,-70.701248,-53.021873,-92.019989,56.418125,-76.421875,-66.583748,-84,5.453154,18.764542,1.735299,17866.59375,4.391502,7.313371,43.196598,43.212387,-181.29776,26.220413,315.577637,0.869453,-169.20665,1.826764,2010.399536
0.407023,215,144,2688,4,-180.235916,-70.684372,-53.049999,-92.036865,56.418125,-76.416252,-66.488129,-84,5.453154,18.764542,1.735299,17866.59375,4.391502,7.313371,43.196598,43.212387,-181.29776,26.236654,314.600128,0.869453,-169.20665,1.826764,2010.399536
0.505029,215,144,2688,4,-180.214996,-70.690002,-53.010624,-92.031242,56.440624,-76.427498,-66.488129,-84,5.445589,18.7334,1.733585,17858.11523,4.389643,7.362456,43.196598,43.221409,-181.299469,26.245934,316.135559,0.869453,-169.247345,1.868965,2010.399536
0.600034,215,144,2688,4,-180.180161,-70.695625,-53.021873,-92.019989,56.389999,-76.416252,-66.448753,-84,5.445589,18.7334,1.733585,17858.11523,4.389643,7.362456,43.210129,43.221409,-181.299469,26.225054,313.927612,0.868541,-169.22699,1.868965,2008.750122
0.70204,215,144,2688,4,-179.964127,-70.701248,-53.044376,-92.053741,56.423752,-76.427498,-66.4375,-84,5.452872,18.728275,1.734061,17853.87695,4.389643,7.351361,43.210129,43.225922,-181.299469,26.194891,317.636292,0.868541,-169.22699,1.894936,2008.750122
0.804046,215,144,2688,4,-179.922333,-70.690002,-53.03875,-92.008743,56.423752,-76.421875,-66.482498,-84,5.452872,18.728275,1.734061,17853.87695,4.389643,7.351361,43.225922,43.210129,-181.342041,26.208813,319.357666,0.868069,-169.247345,1.920543,2008.30127
0.900052,215,144,2688,4,-179.796967,-70.706879,-53.0275,-92.042488,56.384377,-76.427498,-66.465622,-84,5.452872,18.728275,1.734061,17853.87695,4.389643,7.351361,43.225922,43.196598,-181.342041,26.222733,317.914368,0.868069,-169.20665,1.920543,2008.30127
1.002057,215,144,2688,4,-179.690811,-70.684372,-53.03875,-92.048119,56.401249,-76.427498,-66.426247,-84,5.449507,18.773838,1.734431,17870.83594,4.385927,7.34984,43.216896,43.214642,-181.147858,26.229694,317.141052,0.868624,-169.22699,1.948318,2009.276978
1.103063,215,144,2688,4,-179.516785,-70.684372,-53.03875,-92.008743,56.435001,-76.416252,-66.465622,-84,5.449507,18.773838,1.734431,17870.83594,4.385927,7.34984,43.223663,43.228176,-181.386276,26.229694,316.137177,0.869333,-169.288055,1.948318,2011.355103
1.200068,215,144,2688,4,-179.504623,-70.695625,-53.033127,-92.014366,56.384377,-76.416252,-66.431877,-84,5.445874,18.763283,1.73557,17828.4707,4.385927,7.365826,43.212387,43.230431,-181.382935,26.252893,317.841187,0.868707,-169.247345,1.948318,2009.265991
1.309075,215,144,2688,4,-179.609009,-70.684372,-53.03875,-92.064987,56.406876,-76.410622,-66.426247,-84,5.445874,18.763283,1.73557,17828.4707,4.385927,7.365826,43.212387,43.232685,-181.255188,26.238974,317.135071,0.868776,-169.22699,1.991601,2009.44397
1.40108,215,144,2688,4,-179.835281,-70.706879,-53.021873,-92.025612,56.406876,-76.421875,-66.409378,-84,5.445874,18.763283,1.73557,17828.4707,4.385927,7.365826,43.221409,43.237198,-181.44931,26.222733,316.876007,0.868745,-169.247345,1.991601,2009.777832
1.502086,215,144,2688,4,-179.880539,-70.673126,-53.021873,-92.036865,56.440624,-76.410622,-66.420624,-84,5.443628,18.741421,1.734192,17841.16992,4.385927,7.383546,43.221409,43.225922,-181.496826,26.213453,320.97934,0.869533,-169.20665,1.991601,2011.746094
1.600091,215,144,2688,4,-179.922333,-70.701248,-53.055626,-92.042488,56.435001,-76.421875,-66.375626,-84,5.443628,18.741421,1.734192,17841.16992,4.385927,7.383546,43.225922,43.216896,-181.319901,26.213453,317.880402,0.870335,-169.22699,1.991601,2013.964844
1.700097,215,144,2688,4,-179.964127,-70.695625,-53.033127,-92.025612,56.401249,-76.427498,-66.375626,-84,5.440823,18.752939,1.735451,17845.4043,4.387785,7.388672,43.210129,43.198853,-181.301132,26.225054,318.436188,0.869708,-169.20665,1.991601,2011.665527
